year,author,author
2009,Lewis Pugh,1
2009,Liz Coleman,1
2009,Loretta Napoleoni,1
2009,Louise Fresco,1
2009,Magnus Larsson,1
2009,Malcolm McLaren,1
2009,Mallika Sarabhai,1
2009,Marc Koska,1
2009,Marcus du Sautoy,1
2009,Margaret Wertheim,1
2009,Mary Roach,1
2009,Mathieu Lehanneur,1
2009,Matt Weinstein,1
2009,Matthew Childs,1
2009,Matthew White,1
2009,Michael Pritchard,1
2009,Michelle Obama,1
2009,Misha Glenny,1
2009,Nalini Nadkarni,1
2009,Nandan Nilekani,1
2009,Natalie Jeremijenko,1
2009,Natasha Tsakos,1
2009,Nate Silver,1
2009,Nathan Wolfe,1
2009,Naturally 7,1
2009,Nick Veasey,1
2009,Nina Jablonski,1
2009,Olafur Eliasson,1
2009,Oliver Sacks,1
2009,P.W. Singer,1
2009,Parag Khanna,1
2009,Pattie Maes + Pranav Mistry,1
2009,Paul Collier,1
2009,Paul Debevec,1
2009,Paul Romer,1
2009,Pawan Sinha,1
2009,Pete Alcorn,1
2009,Peter Eigen,1
2009,Philip Zimbardo,1
2009,Pranav Mistry,1
2009,Qi Zhang,1
2009,R.A. Mashelkar,1
2009,Rachel Armstrong,1
2009,Rachel Pike,1
2009,Ravin Agrawal,1
2009,Ray Anderson,1
2009,Ray Kurzweil,1
2009,Ray Zahab,1
2009,Rebecca Saxe,1
2009,Renny Gleeson,1
2009,Richard St. John,1
2009,Rob Hopkins,1
2009,Robert Full,1
2009,Robert Sapolsky,1
2009,Robert Thurman,1
2009,Robert Wright,1
2009,Romulus Whitaker,1
2009,Rory  Bremner,1
2009,Rory Sutherland,1
2009,Ryan Lobo,1
2009,Sam Martin,1
2009,Sarah Jones,1
2009,Saul Griffith,1
2009,Sean Gourley,1
2009,Sendhil Mullainathan,1
2009,Seth Godin,1
2009,Shaffi Mather,1
2009,Shai Agassi,1
2009,Shashi Tharoor,1
2009,Shekhar Kapur,1
2009,Shereen El Feki,1
2009,Shukla Bose,1
2009,Simon Sinek,1
2009,Sivamani,1
2009,Sophal Ear,1
2009,Sophie Hunger,1
2009,Srikumar Rao,1
2009,Stefan Sagmeister,1
2009,Stefana Broadbent,1
2009,Steve Truglia,1
2009,Steven Cowley,1
2009,Stewart Brand,1
2009,Sunitha Krishnan,1
2009,Sylvia Earle,1
2009,Taryn Simon,1
2009,Thelma Golden,1
2009,Thulasiraj Ravilla,1
2009,Tim Berners-Lee,1
2009,Tim Birkhead,1
