author,count
How to Be a Better Human,1
Jim Tamm,1
Lucy Marcil,1
David R. Williams,1
Emma Bridgewater,1
James Geary,1
OluTimehin Adegbeye,1
Taneka Jones,1
Richard Baraniuk,1
Stephen Coleman,1
LZ Granderson,1
Siamak Hariri,1
Guy Hoffman,1
Jason deCaires Taylor,1
Bandi Mbubi,1
Will Hurd,1
Sarah Kurnick,1
Anote Tong,1
Hans Block and Moritz Riesewieck,1
Lori Gottlieb,1
John Bohannon,1
Sasha Dichter,1
Elizabeth Howell,1
Alessandra Orofino,1
Johanna Figueira,1
Fred Krupp,1
Thomas Madrecki,1
Sophal Ear,1
Leslie Perlow,1
Shilo Shiv Suleman,1
Washington Wachira,1
Carla Harris,1
Melissa Garren,1
Iké Udé,1
Isadora Kosofsky,1
Paul Piff,1
Amishi Jha,1
Kelly Wanser,1
Alexander Leitner,1
Alexandra Sacks,1
Paul Conneally,1
Suleika Jaouad,1
Carol Dweck,1
Mark Jackson,1
Eleftheria Pissadaki,1
Avi Rubin,1
Peter Kirn,1
Shirin Neshat,1
John Cary,1
Thomas Peschak,1
Kim Scott and Trier Bryant,1
Tony Luciani,1
Meklit Hadero,1
Tanya Khovanova,1
Brandon Rodriguez,1
Paco de Leon,1
Alan Amling,1
Paddy Ashdown,1
Sara-Jane Dunn,1
Dwinita Mosby Tyler,1
Jesper Brodin and Pia Heidenmark Cook,1
Sirena Huang,1
Carlos M. Duarte,1
Tim Seibles,1
Siddharthan Chandran,1
Muthoni Drummer Queen,1
Reshma Saujani,1
Kelsey Johnson,1
Dawn Landes,1
Shonda Rhimes and Cyndi Stivers,1
Andreea S. Calude,1
Vance Kite,1
Keren Elazari,1
Samy Nour Younes,1
Angela Wang,1
Karima Bennoune,1
Patricia Kuhl,1
James Gillies,1
Monica Byrne,1
Rob Forbes,1
Yann Dall'Aglio,1
Sara DeWitt,1
Carina Morillo,1
Chip Colwell,1
Gerry Wright,1
Ed Gavagan,1
Reuben Margolin,1
Hyeonseo Lee,1
Molly Wright,1
Noy Thrupkaew,1
James Orsulak,1
Mary Roach,1
Nina Fedoroff,1
Congrui Jin,1
Michael Pritchard,1
Sophie Williams,1
Malcolm London,1
Gavin Pretor-Pinney,1
Jok Church,1
John Kitching,1
Poppy Crum,1
Vittorio Loreto,1
Dawn Lippert,1
Peter Biddle,1
Nadia Kalman,1
Sara Ramirez,1
Rosalind G. Brewer,1
Cindy Gallop,1
Robin Hauser,1
Caitlin Doughty,1
Hui-wen Sato,1
Elizabeth Loftus,1
 Rodrigo y Gabriela,1
Danielle Torley,1
Ian Bremmer,1
Mei Lin Neo,1
Ma Yansong,1
Andrew Stanton,1
Edi Rama,1
Janne Willems,1
Stephen Cave,1
Jacques S. Abramowicz,1
